Title,Published_date,Likes,Views
Breaking Glass Using Only Megaphones,2018-03-17,1409010,54304047
Tying My Shoes In Every State (World Record),2018-03-16,453457,18102856
"I Dropped $20,000 From A Drone",2018-03-08,249352,7818684
"Donating $10,000 To Fortnite Streamers If They Win",2018-03-03,274026,11371232
Trying To Fly Using Only Leaf Blowers,2018-03-01,429582,18420146
"Giving 3,000,000 Pennies To My 3,000,000th Subscriber",2018-02-22,235608,8839704
"I Donated $30,000 To My Favorite Twitch Streamer (ninja)",2018-02-21,860458,36774114
"I Gave $20,000 To Random Homeless People",2018-02-17,1313731,47682547
I Bought An Expensive Car Using Only $1 Bills,2018-02-13,1079347,37607632
I Bought The World's Most Expensive Apps ($10k),2018-02-08,763385,27091064
We Delivered 100 Pizzas To Random Houses,2018-02-02,228620,9198435
"I Donated $30,000 To A Random Twitch Streamer (world record)",2018-01-28,1054751,32877966
I Bought A Car Using Only Pennies,2018-01-25,720617,26557343
I Bought One Snickers Bar From Every Walmart,2018-01-13,1123336,44987086
Donating Big Donations To Twitch Streamers!!!,2018-01-11,581348,27736014
I Can't Believe I Found This Stuff On Amazon..,2017-12-22,1194734,31239795
"Saying ""Keep Net Neutrality"" For 10 Hours",2017-12-17,84190,2386700
Life Hacks You Need To Know,2017-12-08,202303,7391928
"Can 100,000 Pieces Of Paper Stop A Bullet?",2017-12-06,482862,26001892
"Giving My Mom $100,000 (Proudest Day Of My Life)",2017-12-02,1534690,31945270
"2,256 Miles In One Uber Ride (World Record)",2017-10-28,1109160,43417151
i'm really sorry,2017-10-26,205698,5930514
Hi Me In Two Years (Made Two Years Ago),2017-10-04,601548,13718817
"Tipping Uber Drivers $10,000",2017-08-30,128117,4655671
Going To The Connor McGregor fight!,2017-08-28,230159,6107239
"Tipping Pizza Delivery Guys $10,000",2017-08-23,701497,23112803
"Microwaving my iPhone, what happens next might shock you..",2017-08-20,123752,2782080
"Saying Logan Paul 100,000 Times",2017-08-19,931123,23533446
"Donating $10,000 To Random Twitch Streamers",2017-08-15,226783,10856673
Breaking The Law,2017-07-09,835321,32155562
"Giving Homeless People $1,000 (Not Clickbait)",2017-06-28,229107,6626496
We Are Better Than Dude Perfect,2017-06-24,668450,27299368
Every Challenge I've Ever Done,2017-06-23,29735,941821
Watching It's Everyday Bro For 10 Hours Straight,2017-06-17,822723,28258328
"Giving A Random Homeless Man $10,000",2017-06-15,562142,11255256
Toothpaste Life Hacks YOU SHOULD KNOW,2017-06-13,500384,19772730
"Reading The Longest English Word (190,000 Characters)",2017-06-02,821203,35678866
Fidget Spinner Vs Face (Legit Had To Get Stitches),2017-05-02,1663080,43813447
Grilling A Microwave Microwaving A Microwave Microwaving A Toaster Toasting An Iphone Watching Micro,2017-03-30,72218,2124393
#1 MOST INSANE MAGNET LIFE HACK EVER,2017-03-24,523192,26289182
Watching Dance Till You're Dead For 10 Hours,2017-03-21,2623795,54591809
I Can't Break My Strange Addiction,2017-03-19,95711,1938151
OMG! INSANE CUP FORT,2017-03-14,96524,4148446
Savage Level 9000,2017-03-08,322303,7383071
Reading The Youtube Terms Of Service,2017-03-07,19734,564924
Reacting To The Reaction Of The Reaction To The Reaction Of The Reaction Of The Reaction To The Reac,2017-02-22,323461,7713729
"Counting To 200,000 (Road To A Mil)",2017-02-18,154530,4029307
Microwaving Dry Ice (Microwave Explodes),2017-02-09,96946,3349021
"I Counted To 100,000!",2017-01-09,1488551,31937147
we are number one but every one is a bad intro,2016-12-25,56413,1984798
Microwaving A Microwave Microwaving A Toaster,2016-12-23,89307,4950081
HOW TO UNLOCK ANY IPHONE WITHOUT THE PASSCODE,2016-12-21,578963,23013049
WHY DO THEY SELL THIS ON AMAZON?,2016-12-18,719004,8828465
Microwaving A Microwave,2016-12-09,437845,11710799
IF YOU ONLY SEE ORANGE YOU'RE COLOR BLIND,2016-12-05,93502,1835206
I Mailed Myself IN A BOX & it REALLY WORKED! (Human Mail Challenge),2016-11-30,455304,16451205
STUPIDEST PERSN ON EART (Really Dumb),2016-11-28,184444,2527656
"Reading The Entire Bee Movie Script But Everytime They Say ""Bee"" I Repeat All the Previous Bees",2016-11-25,216690,10989945
